1kP_Sample	Clade	Family	Species	Tissue Type	Status	Voucher Data	Sample Provider	RNA Extractor
SLOI	Core Eudicots	Saxifragaceae	Tiarella polyphylla	young leaves	sequenced	Chase 38786	D. Soltis	D. Soltis
YKFU	Core Eudicots	Saxifragaceae	Peltoboykinia watanabei	young leaves	sequenced	Chase 38787	D. Soltis	D. Soltis
CTSS	Core Eudicots	Saxifragaceae	Tellima breviflora	young leaves	sequenced	Chase 38789	D. Soltis	D. Soltis
BGZG	Core Eudicots/Rosids	Vitaceae	Cissus quadrangularis	leaves	sequenced	Chase 34459 K	M. Chase	BGI
SZPD	Core Eudicots/Rosids	Vitaceae	Tetrastigma voinierianum	young leaves	sequenced	Soltis and Miles 2853	D. Soltis	BGI
BBBA	Core Eudicots/Rosids	Vitaceae	Tetrastigma obtectum	leaves	sequenced	Chase 34457 K	M. Chase	BGI
VYGG	Core Eudicots/Rosids	Stachyuraceae	Stachyurus praecox	young leaves	sequenced	DWS NY 487/2003B	D. W. Stevenson	BGI
PTLU	Core Eudicots/Rosids	Staphyleaceae	Staphylea trifolia	vegetative shoots	sequenced	JLM2013-66 (GA)	J. Leebens-Mack	J. Leebens-Mack
YGCX	Core Eudicots/Rosids	Geraniaceae	Geranium maculatum		sequenced		J. Leebens-Mack	J. Leebens-Mack
HDWF	Core Eudicots/Rosids	Melianthaceae	Francoa appendiculata	leaves	sequenced	Chase 33147 	M. Chase	BGI
FONV	Core Eudicots/Rosids	Melianthaceae	Greyia sutherlandii	leaves	sequenced	Soltis and Miles 2844	D. Soltis	BGI
AJJE	Core Eudicots/Rosids	Combretaceae	Terminalia neotaliala	leaves	sequenced	Chase 34481 K	M. Chase	BGI
NIJU	Core Eudicots/Rosids	Heteropyxidaceae	Heteropyxis natalensis	leaves	sequenced	T. McLellan (J)	Tracy McLellan	BGI
RJNQ	Core Eudicots/Rosids	Lythraceae	Lagerstroemia indica	young leaves	sequenced	Soltis and Miles 2971	D. Soltis	D. Soltis
JROW	Core Eudicots/Rosids	Lythraceae	Punica granatum	young leaves	sequenced	Soltis and Miles 2973	D. Soltis	D. Soltis
QEBC	Core Eudicots/Rosids	Lythraceae	Punica granatum	young leaves	sequenced	Soltis and Miles 2973	D. Soltis	D. Soltis
YMUO	Core Eudicots/Rosids	Lythraceae	Punica granatum	developing seeds	sequenced	M.K. Deyholos 2016-104	M. Deyholos	Elzbieta Mietkiewska
VUGF	Core Eudicots/Rosids	Lythraceae	Punica granatum	developing seeds	sequenced	M.K. Deyholos 2016-105	M. Deyholos	Elzbieta Mietkiewska
WWQZ	Core Eudicots/Rosids	Melastomataceae	Medinilla magnifica	young leaves	sequenced	Soltis and Miles 2948	D. Soltis	D. Soltis
SWGX	Core Eudicots/Rosids	Melastomataceae	Tetrazygia bicolor	leaves	sequenced	Soltis and Miles 2766	D. Soltis	BGI
FGDU	Core Eudicots/Rosids	Myrtaceae	Syzygium paniculatum	leaves and flower buds	sequenced	Chase 34478 K	M. Chase	BGI
NEBM	Core Eudicots/Rosids	Myrtaceae	Syzygium micranthum		sequenced	JLM2013-70 (GA)	J. Leebens-Mack	J. Leebens-Mack
AYMT	Core Eudicots/Rosids	Myrtaceae	Eucalyptus leucoxylon		sequenced	DJ531A	A. Lowe	BGI
JLLY	Core Eudicots/Rosids	Myrtaceae	Melaleuca quinquenervia	young leaves	sequenced	Soltis and Miles 2824	D. Soltis	BGI
FEDW	Core Eudicots/Rosids	Onagraceae	Chamerion angustifolium	"leaf	 stem	 flowers"	sequenced	132727 (ALTA)	M. Deyholos	M. Deyholos
DSVQ	Core Eudicots/Rosids	Onagraceae	Oenothera biennis	young true leaves from seedlings	sequenced	M. Johnson 659	M. Johnson	BGI
EXGW	Core Eudicots/Rosids	Onagraceae	Oenothera biennis	young true leaves from seedlings	sequenced	M. Johnson 378	M. Johnson	M. Johnson
FDBS	Core Eudicots/Rosids	Onagraceae	Oenothera biennis	young true leaves from seedlings	sequenced	M. Johnson 442	M. Johnson	M. Johnson
MLUJ	Core Eudicots/Rosids	Onagraceae	Oenothera biennis	young true leaves from seedlings	sequenced	M. Johnson 658	M. Johnson	M. Johnson
REZJ	Core Eudicots/Rosids	Onagraceae	Oenothera grandiflora	young true leaves from seedlings	sequenced	M. Johnson 666	M. Johnson	BGI
MJHP	Core Eudicots/Rosids	Onagraceae	Oenothera grandiflora	young true leaves from seedlings	sequenced	M. Johnson 562	M. Johnson	M. Johnson
GZUR	Core Eudicots/Rosids	Onagraceae	Oenothera grandiflora	young true leaves from seedlings	sequenced	M. Johnson 564	M. Johnson	M. Johnson
EBPG	Core Eudicots/Rosids	Onagraceae	Oenothera grandiflora	young true leaves from seedlings	sequenced	M. Johnson 538	M. Johnson	BGI
HOOU	Core Eudicots/Rosids	Onagraceae	Oenothera grandiflora	young true leaves from seedlings	sequenced	M. Johnson 541	M. Johnson	M. Johnson
SEMK	Core Eudicots/Rosids	Onagraceae	Oenothera grandis	young true leaves from seedlings	sequenced	M. Johnson 206	M. Johnson	BGI
ICUS	Core Eudicots/Rosids	Onagraceae	Oenothera laciniata	young true leaves from seedlings	sequenced	M. Johnson 98	M. Johnson	BGI
FXJC	Core Eudicots/Rosids	Onagraceae	Oenothera rosea	young true leaves from seedlings	sequenced	M. Johnson 672	M. Johnson	BGI
NQWS	Core Eudicots/Rosids	Onagraceae	Oenothera filiformis	young true leaves from seedlings	sequenced	M. Johnson 377	M. Johnson	BGI
TGOP	Core Eudicots/Rosids	Onagraceae	Oenothera gaura	young true leaves from seedlings	sequenced	M. Johnson 402	M. Johnson	BGI
GVCB	Core Eudicots/Rosids	Onagraceae	Oenothera affinis	young true leaves from seedlings	sequenced	M. Johnson 529	M. Johnson	M. Johnson
KBRW	Core Eudicots/Rosids	Onagraceae	Oenothera clelandii	young true leaves from seedlings	sequenced	M. Johnson 390	M. Johnson	M. Johnson
JKNQ	Core Eudicots/Rosids	Onagraceae	Oenothera suffulta suffulta	young true leaves from seedlings	sequenced	M. Johnson 92	M. Johnson	M. Johnson
ECSL	Core Eudicots/Rosids	Onagraceae	Oenothera filiformis	young true leaves from seedlings	sequenced	M. Johnson 381	M. Johnson	M. Johnson
LACT	Core Eudicots/Rosids	Onagraceae	Oenothera gaura	young true leaves from seedlings	sequenced	M. Johnson 651	M. Johnson	M. Johnson
LHDP	Core Eudicots/Rosids	Onagraceae	Oenothera gaura	young true leaves from seedlings	sequenced	M. Johnson 673	M. Johnson	M. Johnson
IIFB	Core Eudicots/Rosids	Onagraceae	Oenothera gaura	young true leaves from seedlings	sequenced	M. Johnson 677	M. Johnson	M. Johnson
JYOB	Core Eudicots/Rosids	Onagraceae	Oenothera filiformis	young true leaves from seedlings	sequenced	M. Johnson 380	M. Johnson	M. Johnson
IDAU	Core Eudicots/Rosids	Onagraceae	Oenothera elata hookeri	young true leaves from seedlings	sequenced	M. Johnson 664	M. Johnson	M. Johnson
XSNO	Core Eudicots/Rosids	Onagraceae	Oenothera rosea	expanding 4th true leaf from seedling	sequenced	M. Johnson 71	M. Johnson	M. Johnson
YHLF	Core Eudicots/Rosids	Onagraceae	Oenothera rhombipetala	expanding 4th true leaf from seedling	sequenced	M. Johnson 369	M. Johnson	M. Johnson
DZLN	Core Eudicots/Rosids	Onagraceae	Oenothera picensis	expanding 4th true leaf from seedling	sequenced	M. Johnson 655	M. Johnson	M. Johnson
CJGZ	Core Eudicots/Rosids	Onagraceae	Oenothera nana	expanding 4th true leaf from seedling	sequenced	M. Johnson 0233	M. Johnson	M. Johnson
HPNZ	Core Eudicots/Rosids	Onagraceae	Oenothera longituba	expanding 4th true leaf from seedling	sequenced	M. Johnson 678	M. Johnson	M. Johnson
DIBI	Core Eudicots/Rosids	Onagraceae	Oenothera laciniata	expanding 4th true leaf from seedling	sequenced	M. Johnson 218	M. Johnson	M. Johnson
AQXA	Core Eudicots/Rosids	Onagraceae	Oenothera laciniata	expanding 4th true leaf from seedling	sequenced	M. Johnson 169	M. Johnson	M. Johnson
QBRF	Core Eudicots/Rosids	Onagraceae	Oenothera laciniata	expanding 4th true leaf from seedling	sequenced	M. Johnson 100	M. Johnson	M. Johnson
ONZG	Core Eudicots/Rosids	Onagraceae	Oenothera laciniata	expanding 4th true leaf from seedling	sequenced	M. Johnson 99	M. Johnson	M. Johnson
EWHG	Core Eudicots/Rosids	Onagraceae	Oenothera grandis	expanding 4th true leaf from seedling	sequenced	M. Johnson 207	M. Johnson	M. Johnson
TAHF	Core Eudicots/Rosids	Onagraceae	Oenothera grandis	expanding 4th true leaf from seedling	sequenced	M. Johnson 134	M. Johnson	M. Johnson
WPUV	Core Eudicots/Rosids	Onagraceae	Oenothera grandis	expanding 4th true leaf from seedling	sequenced	M. Johnson 135	M. Johnson	M. Johnson
CHTD	Core Eudicots/Rosids	Onagraceae	Oenothera grandis	expanding 4th true leaf from seedling	sequenced	M. Johnson 133	M. Johnson	M. Johnson
EQYT	Core Eudicots/Rosids	Onagraceae	Oenothera berlandieri	expanding young leaf	sequenced	M. Johnson 65	M. Johnson	M. Johnson
JMJV	Core Eudicots/Rosids	Onagraceae	Oenothera gaura	expanding 4th true leaf from seedling	sequenced	M. Johnson 671	M. Johnson	M. Johnson
YIVZ	Core Eudicots/Rosids	Onagraceae	Oenothera rosea	expanding 4th true leaf from seedling	sequenced	M. Johnson 277	M. Johnson	M. Johnson
KFAL	Core Eudicots/Rosids	Onagraceae	Oenothera rosea	expanding 4th true leaf from seedling	sequenced	M. Johnson 392	M. Johnson	M. Johnson
SJAN	Core Eudicots/Rosids	Onagraceae	Oenothera serrulata	expanding 4th true leaf from seedling	sequenced	M. Johnson 70	M. Johnson	M. Johnson
RLZU	Core Eudicots/Rosids	Onagraceae	Oenothera speciosa	expanding 4th true leaf from seedling	sequenced	M. Johnson 112	M. Johnson	M. Johnson
UASK	Core Eudicots/Rosids	Onagraceae	Oenothera speciosa	expanding 4th true leaf from seedling	sequenced	M. Johnson 113	M. Johnson	M. Johnson
XZPP	Core Eudicots/Rosids	Onagraceae	Oenothera speciosa	expanding 4th true leaf from seedling	sequenced	M. Johnson 114	M. Johnson	M. Johnson
XZAQ	Core Eudicots/Rosids	Onagraceae	Oenothera speciosa	expanding 4th true leaf from seedling	sequenced	M. Johnson 116	M. Johnson	M. Johnson
GBGW	Core Eudicots/Rosids	Onagraceae	Oenothera speciosa	expanding 4th true leaf from seedling	sequenced	M. Johnson 118	M. Johnson	M. Johnson
AJBK	Core Eudicots/Rosids	Onagraceae	Oenothera elata	4th true leaf	sequenced	S. Greiner (M)	S. Greiner	S. Greiner
ROLB	Core Eudicots/Rosids	Onagraceae	Oenothera elata	pool of multiple tissues	sequenced	S. Greiner (M)	S. Greiner	S. Greiner
UDUT	Core Eudicots/Rosids	Zygophyllaceae	Larrea tridentata	woody seedling including leaves and root	sequenced	M.K. Deyholos 2016-106	M. Deyholos	M. Deyholos
KVAY	Core Eudicots/Rosids	Zygophyllaceae	Tribulus eichlerianus	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
ZHMB	Core Eudicots/Rosids	Krameriaceae	Krameria lanceolata	"young leaves	 flower buds"	sequenced	Soltis and Miles 2991	D. Soltis	D. Soltis
IHCQ	Core Eudicots/Rosids	Celastraceae	Crossopetalum rhacoma	"young leaves	 a few flowers"	sequenced	Soltis and Miles 2947	J. Leebens-Mack	J. Leebens-Mack
MFEA	Core Eudicots/Rosids	Celastraceae	Stackhousia spathulata	young leaves	sequenced	D.O. Burge 1309 (NSW Pending)	D. Burge	C. dePamphilis
OCTM	Core Eudicots/Rosids	Begoniaceae	Begonia sp.	leaves	sequenced	Soltis and Miles 2769	D. Soltis	BGI
AXAF	Core Eudicots/Rosids	Cucurbitaceae	Thladiantha villosula	leaves	sequenced	Chase 34473 K	M. Chase	BGI
NNGU	Core Eudicots/Rosids	Coriariaceae	Coriaria nepalensis	leaves	sequenced	Chase 33161 K	M. Chase	BGI
SUAK	Core Eudicots/Rosids	Fabaceae	Codariocalyx motorius	leaves and stems	sequenced	Stewart and Peng	N. Stewart	BGI
RKLL	Core Eudicots/Rosids	Fabaceae	Copaifera officinalis	leaves	sequenced	Stewart and Burris	N. Stewart	BGI
RMWJ	Core Eudicots/Rosids	Fabaceae	Wisteria floribunda	"flowers	 leaves	 stems"	sequenced	Stewart and Burris	N. Stewart	BGI
PEZP	Core Eudicots/Rosids	Fabaceae	Glycyrrhiza glabra	shoot (no flower) and root	sequenced	132733 (ALTA)	M. Deyholos	M. Deyholos
RKFX	Core Eudicots/Rosids	Fabaceae	Cercis canadensis	leaves and young flowers	sequenced	Cannon 0001	D. Soltis	BGI
GEHT	Core Eudicots/Rosids	Fabaceae	Gleditsia triacanthos	leaves and young flowers	sequenced	Cannon 0002	S. Cannon	BGI
QZXQ	Core Eudicots/Rosids	Fabaceae	Gymnocladus dioicus	leaves and young flowers	sequenced	Cannon 0003	S. Cannon	BGI
KZED	Core Eudicots/Rosids	Fabaceae	Senna hebecarpa	young leaves and shoot	sequenced	Cannon 0005	S. Cannon	BGI
XOOE	Core Eudicots/Rosids	Fabaceae	Desmanthus illinoensis	young leaves and shoot	low quality	Cannon 0006	S. Cannon	BGI
NXOH	Core Eudicots/Rosids	Fabaceae	Apios americana	young shoot and tuber	sequenced	Cannon 0007	S. Cannon	BGI
SLYR	Core Eudicots/Rosids	Fabaceae	Cladrastis lutea	leaves and young flowers	sequenced	Cannon 0004	S. Cannon	BGI
KNMB	Core Eudicots/Rosids	Fabaceae	Lathyrus sativus	young shoot and tuber	sequenced	Cannon 25	S. Cannon	S. Cannon
CMFF	Core Eudicots/Rosids	Fabaceae	Lupinus polyphyllus	high alkaloid – leaves and young flowers	sequenced	Cannon 0010	S. Cannon	BGI
TTRG	Core Eudicots/Rosids	Fabaceae	Lupinus angustifolius	leaves	sequenced	83A:476 (UWA)	M. Nelson	M. Nelson
TVSH	Core Eudicots/Rosids	Fabaceae	Bituminaria bituminosa	leaves and buds	sequenced	M. Nelson & D. Real: 'Breeding line 	M. Nelson	C. Snowball
VLNB	Core Eudicots/Rosids	Fabaceae	Gompholobium polymorphum	leaves and buds	sequenced	A. Smithson 1 (Perth)	A. Smithson	A. Smithson
HJMP	Core Eudicots/Rosids	Fabaceae	Astragalus membranaceus	shoot (no flower) and root	sequenced	132718 (ALTA)	M. Deyholos	M. Deyholos
JTQQ	Core Eudicots/Rosids	Fabaceae	Glycyrrhiza lepidota	shoot (no flower) and root	sequenced	132733 (ALTA)	M. Deyholos	M. Deyholos
ZUQW	Core Eudicots/Rosids	Fabaceae	Glycine soja	root	sequenced	M.K. Deyholos 2016-127	Wang Yang	BGI
OAQS	Core Eudicots/Rosids	Fabaceae	Glycine soja	root + NaCl	sequenced	M.K. Deyholos 2016-127	Wang Yang	BGI
LXGM	Core Eudicots/Rosids	Fabaceae	Glycine soja	root + NaHCO3	sequenced	M.K. Deyholos 2016-127	Wang Yang	BGI
RIDD	Core Eudicots/Rosids	Fabaceae	Glycine soja	AB root + NaHCO3	sequenced	M.K. Deyholos 2016-127	Wang Yang	BGI
PFSA	Core Eudicots/Rosids	Fabaceae	Glycine soja	BB root + NaHCO3	sequenced	M.K. Deyholos 2016-127	Wang Yang	BGI
TJMB	Core Eudicots/Rosids	Fabaceae	Glycine soja	CB root + NaHCO3	sequenced	M.K. Deyholos 2016-127	Wang Yang	BGI
AKRH	Core Eudicots/Rosids	Fabaceae	Glycine soja	DB root + NaHCO3	sequenced	M.K. Deyholos 2016-127	Wang Yang	BGI
FPLR	Core Eudicots/Rosids	Fabaceae	Glycine soja	EB root + NaHCO3	sequenced	M.K. Deyholos 2016-127	Wang Yang	BGI
LQUX	Core Eudicots/Rosids	Fabaceae	Glycine soja	FB root + NaHCO3	sequenced	M.K. Deyholos 2016-127	Wang Yang	BGI
JETM	Core Eudicots/Rosids	Fabaceae	Bauhinia tomentosa	leaf	sequenced	M.K. Deyholos 2016-107	M. Deyholos	Yu Yang
ZSSR	Core Eudicots/Rosids	Fabaceae	Xanthocercis zambesiaca	leaf	sequenced	132769 (ALTA)	M. Deyholos	Yu Yang
ATQZ	Core Eudicots/Rosids	Fabaceae	Acacia pycnantha		sequenced	DJ532A	A. Lowe	BGI
MGBF	Core Eudicots/Rosids	Fabaceae	Acacia pycnantha		sequenced	DJ489A	A. Lowe	BGI
MYMP	Core Eudicots/Rosids	Fabaceae	Astragalus propinquus	leaves	sequenced	Wang 2141 (TAI)	Chun-Neng Wang	Chun-Neng Wang
VHZV	Core Eudicots/Rosids	Fabaceae	Gleditsia sinensis	leaves	sequenced	Wang 2148 (TAI)	Chun-Neng Wang	Chun-Neng Wang
ZCDJ	Core Eudicots/Rosids	Fabaceae	Acacia argyrophylla		sequenced	HC423A	A. Lowe	BGI
OHAE	Core Eudicots/Rosids	Polygalaceae	Polygala lutea	leaf buds and flowers	sequenced	JLM2013-59 (GA)	J. Leebens-Mack	J. Leebens-Mack
OQHZ	Core Eudicots/Rosids	Quillajaceae	Quillaja saponaria	leaves	sequenced	Chase 33146 	M. Chase	BGI
CWZU	Core Eudicots/Rosids	Betulaceae	Betula pendula	young leaves	sequenced	DWS NY 1471/95	D. W. Stevenson	BGI
LWDA	Core Eudicots/Rosids	Betulaceae	Alnus serrulata	"young leaves	 young inflorescence"	sequenced	Soltis and Miles 2964	D. Soltis	D. Soltis
LNER	Core Eudicots/Rosids	Casuarinacae	Casuarina equisetifolia	leaves	sequenced	Soltis and Miles 2773	D. Soltis	BGI
SVVG	Core Eudicots/Rosids	Fagaceae	Fagus sylvatica		sequenced		J. Leebens-Mack	J. Leebens-Mack
HENI	Core Eudicots/Rosids	Fagaceae	Quercus shumardii	"very young leaves	 some staminate flowers"	sequenced	Soltis and Miles 2780	D. Soltis	BGI
UZWG	Core Eudicots/Rosids	Fagaceae	Castanea pumila	young leaves and flowers	sequenced	Soltis and Miles 2977	D. Soltis	D. Soltis
NHUA	Core Eudicots/Rosids	Fagaceae	Castanea crenata		sequenced		J. Leebens-Mack	J. Leebens-Mack
DXQW	Core Eudicots/Rosids	Juglandaceae	Juglans nigra	leaves	sequenced	Soltis and Miles 2798	D. Soltis	BGI
VWIP	Core Eudicots/Rosids	Juglandaceae	Carya glabra		sequenced		J. Leebens-Mack	J. Leebens-Mack
INSP	Core Eudicots/Rosids	Myricaceae	Myrica cerifera	leaves	sequenced	Soltis and Miles 2761	D. Soltis	BGI
TJLC	Core Eudicots/Rosids	Nothofagaceae	Nothofagus obliqua	leaves	sequenced	Chase 33143 	M. Chase	BGI
NFXV	Core Eudicots/Rosids	Calophyllaceae	Mammea americana	young leaves	sequenced	Soltis & Miles 3003	D. Soltis	D. Soltis
ZBVT	Core Eudicots/Rosids	Chrysobalanaceae	Chrysobalanus icaco	young leaves	sequenced	Soltis and Miles 2940	D. Soltis	D. Soltis
HBUQ	Core Eudicots/Rosids	Chrysobalanaceae	Licania michauxii	young leaves	sequenced	Soltis & Miles 2990	D. Soltis	D. Soltis
FWCQ	Core Eudicots/Rosids	Clusiaceae	Garcinia oblongifolia	young leaves	sequenced	T. Chen et. al. 2010090804	Tao Chen	BGI
OSIP	Core Eudicots/Rosids	Clusiaceae	Garcinia livingstonei	leaves	sequenced	Chase 34490 K	M. Chase	BGI
PAZJ	Core Eudicots/Rosids	Euphorbiaceae	Ricinus communis	leaves and flower buds	sequenced	Chase 34448 K	M. Chase	BGI
XNLP	Core Eudicots/Rosids	Euphorbiaceae	Manihot grahamii	leaves	sequenced	Soltis and Miles 2767	D. Soltis	BGI
VVPY	Core Eudicots/Rosids	Euphorbiaceae	Croton tiglium	leaves	sequenced	Wang 2146 (TAI)	Chun-Neng Wang	Chun-Neng Wang
PXYR	Core Eudicots/Rosids	Euphorbiaceae	Euphorbia pekinensis	"leaf	 and inflorescence"	sequenced	Chase 34441 K	M. Chase	BGI
VPDX	Core Eudicots/Rosids	Euphorbiaceae	Euphorbia mesembryanthemifolia	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
LSLA	Core Eudicots/Rosids	Euphorbiaceae	Euphorbia mesembryanthemifolia	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
BNDE	Core Eudicots/Rosids	Hypericaceae	Hypericum perforatum	"shoot (young leaves	 floral buds)"	sequenced	132735 (ALTA)	M. Deyholos	M. Deyholos
MYVH	Core Eudicots/Rosids	Linaceae	Linum grandiflorum	"buds	 stem	 leaves	 flowers"	sequenced	132738 (ALTA)	M. Deyholos	M. Deyholos
MJAV	Core Eudicots/Rosids	Linaceae	Linum usitatissimum	stem apex	sequenced	132740 (ALTA)	M. Deyholos	Lai To
OZJZ	Core Eudicots/Rosids	Linaceae	Linum usitatissimum	stem region 3	sequenced	132740 (ALTA)	M. Deyholos	Lai To
OGSY	Core Eudicots/Rosids	Linaceae	Linum usitatissimum	stem region 4	sequenced	132740 (ALTA)	M. Deyholos	Lai To
HNCF	Core Eudicots/Rosids	Linaceae	Linum hirsutum	"stem apex	 shoot	 leaves"	sequenced	M.K. Deyholos 2016-129	M. Deyholos	J. McDill
BHYC	Core Eudicots/Rosids	Linaceae	Linum lewisii	"stem apex	 shoot	 leaves"	sequenced		M. Deyholos	J. McDill
AEPI	Core Eudicots/Rosids	Linaceae	Linum leonii	"stem apex	 shoot	 leaves"	sequenced		M. Deyholos	J. McDill
AXPJ	Core Eudicots/Rosids	Linaceae	Linum flavum	"stem apex	 shoot	 leaves"	sequenced		M. Deyholos	J. McDill
KCPT	Core Eudicots/Rosids	Linaceae	Linum macraei	"stem apex	 shoot	 leaves"	sequenced	M.K. Deyholos 2016-128	M. Deyholos	J. McDill
XWMS	Core Eudicots/Rosids	Linaceae	Linum perenne	"stem apex	 shoot	 leaves	 flower buds (in bud)"	sequenced	M.K. Deyholos 2016-108	M. Deyholos	J. McDill
LFII	Core Eudicots/Rosids	Linaceae	Linum perenne	"stem apex	 shoot	 leaves (veg.)"	sequenced	M.K. Deyholos 2016-108	M. Deyholos	J. McDill
OODC	Core Eudicots/Rosids	Linaceae	Linum bienne	"stem apex	 shoot	 leaves	 flowers	 developing ca.."	sequenced	M.K. Deyholos 2016-109	M. Deyholos	J. McDill
VXOD	Core Eudicots/Rosids	Linaceae	Linum tenuifolium	"stem apex	 shoot	 leaves"	sequenced	132739 (ALTA)	M. Deyholos	J. McDill
TXMP	Core Eudicots/Rosids	Linaceae	Linum strictum	"stem apex	 shoot	 leaves	 flowers	 developing c..."	sequenced		M. Deyholos	J. McDill
XPBC	Core Eudicots/Rosids	Malpighiaceae	Galphimia gracilis	leaves and young flowers	sequenced	Soltis and Miles 2770	D. Soltis	BGI
COAQ	Core Eudicots/Rosids	Malesherbiaceae	Malesherbia fasciculata	shoot with flowers	sequenced	132743 (ALTA)	M. Deyholos	M. Deyholos
TVCU	Core Eudicots/Rosids	Ochnaceae	Ochna mossambicensis	leaves	low quality	Soltis and Miles 2786	D. Soltis	BGI
CKDK	Core Eudicots/Rosids	Ochnaceae	Ochna serrulata	young shoots and flower buds	sequenced	JLM2013-53 (GA)	J. Leebens-Mack	J. Leebens-Mack
EZZT	Core Eudicots/Rosids	Passifloraceae	Passiflora edulis	young leaves	sequenced	Soltis and Miles 2907	D. Soltis	BGI
SIZE	Core Eudicots/Rosids	Passifloraceae	Passiflora caerulea	leaf	sequenced	M.K. Deyholos 2016-110	M. Deyholos	Yu Yang
YGAT	Core Eudicots/Rosids	Phyllanthaceae	Phyllanthus sp.	leaves	sequenced	Soltis and Miles 2856	D. Soltis	BGI
VNMY	Core Eudicots/Rosids	Phyllanthaceae	Bischofia javanica	young leaves	sequenced	Soltis and Miles 2978	D. Soltis	D. Soltis
RVGH	Core Eudicots/Rosids	Putranjivaceae	Drypetes deplanchei	leaves	sequenced	Chase 33148 	M. Chase	BGI
ZTLR	Core Eudicots/Rosids	Rhizophoraceae	Rhizophora mangle	leaves	sequenced	in preparation	D. Soltis	BGI
RPPC	Core Eudicots/Rosids	[Erythroyxlaceae]	Erythroxylum coca	leaves	sequenced	Soltis and Miles 2816	D. Soltis	J. Leebens-Mack
INQX	Core Eudicots/Rosids	Salicaceae	Salix acutifolia	shoot	sequenced	J. Cooke (no voucher)	M. Deyholos	M. Deyholos
IEPQ	Core Eudicots/Rosids	Salicaceae	Salix dasyclados	shoot	sequenced	J. Cooke (no voucher)	M. Deyholos	M. Deyholos
GLVK	Core Eudicots/Rosids	Salicaceae	Salix eriocephala	shoot	sequenced	J. Cooke (no voucher)	M. Deyholos	M. Deyholos
LFOG	Core Eudicots/Rosids	Salicaceae	Salix purpurea	shoot	sequenced	J. Cooke (no voucher)	M. Deyholos	M. Deyholos
TDTF	Core Eudicots/Rosids	Salicaceae	Salix sachalinensis	shoot	sequenced	J. Cooke (no voucher)	M. Deyholos	M. Deyholos
KKDQ	Core Eudicots/Rosids	Salicaceae	Salix viminalis	shoot	sequenced	J. Cooke (no voucher)	M. Deyholos	M. Deyholos
RZTJ	Core Eudicots/Rosids	Salicaceae	Salix fargesii	young shoot	sequenced	R. Mindell & B.C. Zhuang 22112 (UBC)	D. W. Stevenson	BGI
LPGY	Core Eudicots/Rosids	Violaceae	Viola tricolor	"young leaves	 some floral buds"	sequenced	Soltis and Miles 2930	D. Soltis	J. Leebens-Mack
NJLF	Core Eudicots/Rosids	Violaceae	Viola canadensis	"leaf	 stem	 flowers	 developing fruits"	sequenced	J.R. McDill 2011-4	M. Deyholos	M. Deyholos
YZVJ	Core Eudicots/Rosids	Cephalotaceae	Cephalotus follicularis	leaves	sequenced	Miles 59	D. Soltis	BGI
TIUZ	Core Eudicots/Rosids	Cunoniaceae	Cunonia capensis	leaves	sequenced	T. McLellan (J)	Tracy McLellan	BGI
THHD	Core Eudicots/Rosids	Elaeocarpaceae	Elaeocarpus sylvestris		sequenced	JLM2013-39 (GA)	J. Leebens-Mack	J. Leebens-Mack
JHCN	Core Eudicots/Rosids	Oxalidaceae	Oxalis sp.	leaves and young flowers	sequenced	Soltis and Miles 2763	D. Soltis	BGI
PDIE	Core Eudicots/Rosids	Cannabaceae	Cannabis sativa	xylem var. C	sequenced	registered variety ‘Carmen’	M. Deyholos	M. Deyholos
PMRP	Core Eudicots/Rosids	Cannabaceae	Cannabis sativa	stem var. A	sequenced	registered variety ‘Carmen’	M. Deyholos	M. Deyholos
DGNP	Core Eudicots/Rosids	Cannabaceae	Cannabis sativa	core var. A	sequenced	registered variety ‘Carmen’	M. Deyholos	M. Deyholos
SFZX	Core Eudicots/Rosids	Cannabaceae	Cannabis sativa	stem peel var. A	sequenced	registered variety ‘Carmen’	M. Deyholos	M. Deyholos
AQGE	Core Eudicots/Rosids	Cannabaceae	Humulus lupulus	young leaves	sequenced	Soltis and Miles 2903	D. Soltis	BGI
KYAD	Core Eudicots/Rosids	Cannabaceae	Celtis occidentalis	young leaves and flowers	sequenced	Soltis and Miles 2916	J. Leebens-Mack	J. Leebens-Mack
RBYC	Core Eudicots/Rosids	Elaeagnaceae	Elaeagnus pungens	young leaves	sequenced	Soltis and Miles 2951	D. Soltis	D. Soltis
XVJB	Core Eudicots/Rosids	Moraceae	Morus nigra	"flower	 stem	 leaves"	sequenced	132749 (ALTA)	M. Deyholos	M. Deyholos
EDHN	Core Eudicots/Rosids	Moraceae	Ficus religiosa	leaf	sequenced	132731 (ALTA)	M. Deyholos	Yu Yang
EILE	Core Eudicots/Rosids	Rhamnaceae	Rhamnus japonica		sequenced		J. Leebens-Mack	J. Leebens-Mack
WVEF	Core Eudicots/Rosids	Rhamnaceae	Rhamnus caroliniana	young leaves	sequenced	Soltis and Miles 2952	D. Soltis	D. Soltis
ZHEE	Core Eudicots/Rosids	Rhamnaceae	Ziziphus jujuba	young leaves	sequenced	Soltis & Miles 2956	D. Soltis	D. Soltis
